Num Groups,Average EMD,EMD Estimation Time,EMD CSV File
1,0.2388597106216219,135.60996627807617,EMD-GROUP-SEL/EMD_SOLO_nGroup1.csv
2,0.23894452568919153,259.36213302612305,EMD-GROUP-SEL/EMD_SOLO_nGroup2.csv
10,0.23971487601081357,772.6913645267487,EMD-GROUP-SEL/EMD_SOLO_nGroup10.csv
50,0.24358966514757024,695.3135838508606,EMD-GROUP-SEL/EMD_SOLO_nGroup50.csv
200,0.2538274740604079,1299.522144317627,EMD-GROUP-SEL/EMD_SOLO_nGroup200.csv
500,0.2655111498329212,2655.2869641780853,EMD-GROUP-SEL/EMD_SOLO_nGroup500.csv
1000,0.2772580200817316,4929.781486988068,EMD-GROUP-SEL/EMD_SOLO_nGroup1000.csv
2000,0.29173667893394806,9640.12625169754,EMD-GROUP-SEL/EMD_SOLO_nGroup2000.csv
5000,0.31577260187056416,23673.4074511528,EMD-GROUP-SEL/EMD_SOLO_nGroup5000.csv
10000,0.3380464472931101,47201.99194717407,EMD-GROUP-SEL/EMD_SOLO_nGroup10000.csv
